epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,34495,1.42091,0.50617,0.00256,0.97234,0.91519,0.94807,0.62876,1.26927,0.45198,0.00264,0.000420143,0.000420143,0.000420143
43,35714.9,1.42078,0.50494,0.00256,0.97192,0.9164,0.94815,0.63006,1.26587,0.45233,0.00264,0.000406,0.000406,0.000406
44,36964.8,1.41649,0.50532,0.00254,0.97079,0.91663,0.94818,0.63139,1.26287,0.45081,0.00263,0.000391857,0.000391857,0.000391857
45,38228.7,1.41056,0.5,0.00252,0.97266,0.91487,0.94821,0.63262,1.25902,0.45047,0.00262,0.000377714,0.000377714,0.000377714
46,39467.2,1.40259,0.4947,0.00252,0.97333,0.91554,0.94879,0.63407,1.25607,0.44972,0.00261,0.000363571,0.000363571,0.000363571
47,40674.2,1.39503,0.49312,0.0025,0.97405,0.91699,0.9495,0.63512,1.25339,0.45019,0.00261,0.000349429,0.000349429,0.000349429
48,41828,1.39277,0.49434,0.00249,0.97427,0.9167,0.94983,0.63642,1.25091,0.44802,0.0026,0.000335286,0.000335286,0.000335286
49,42945.3,1.38982,0.49221,0.0025,0.97297,0.91765,0.94999,0.63701,1.24819,0.44537,0.00259,0.000321143,0.000321143,0.000321143
50,44061.7,1.3822,0.48559,0.00248,0.97369,0.9176,0.9497,0.63832,1.24499,0.44304,0.00259,0.000307,0.000307,0.000307
51,45203,1.33655,0.45634,0.00251,0.97401,0.91826,0.95041,0.63959,1.24297,0.44132,0.00259,0.000292857,0.000292857,0.000292857
52,46316.8,1.33094,0.45126,0.00251,0.97673,0.91773,0.95086,0.64035,1.24081,0.43776,0.00258,0.000278714,0.000278714,0.000278714
53,47432.5,1.32518,0.44755,0.00249,0.97597,0.91775,0.95131,0.64138,1.23966,0.43544,0.00258,0.000264571,0.000264571,0.000264571
54,48548.8,1.31807,0.44508,0.00247,0.9762,0.91765,0.95173,0.6423,1.2361,0.43252,0.00257,0.000250429,0.000250429,0.000250429
55,49664.8,1.31341,0.44261,0.00247,0.97756,0.91739,0.95188,0.64352,1.23315,0.43323,0.00257,0.000236286,0.000236286,0.000236286
56,50777.7,1.30665,0.44048,0.00245,0.97634,0.91904,0.95222,0.64492,1.23065,0.43092,0.00256,0.000222143,0.000222143,0.000222143
57,51890.6,1.30334,0.43913,0.00244,0.97595,0.91985,0.95246,0.64592,1.2279,0.42911,0.00255,0.000208,0.000208,0.000208
58,53004.7,1.29807,0.43748,0.00243,0.97625,0.91968,0.95272,0.6471,1.22487,0.42919,0.00255,0.000193857,0.000193857,0.000193857
59,54118.9,1.29552,0.43432,0.00242,0.97655,0.91973,0.95317,0.64748,1.22296,0.42764,0.00255,0.000179714,0.000179714,0.000179714
60,55230.7,1.28943,0.43389,0.00241,0.97522,0.92124,0.95296,0.64848,1.22213,0.42547,0.00254,0.000165571,0.000165571,0.000165571
61,56345.1,1.28545,0.43024,0.00239,0.97581,0.92036,0.95351,0.64935,1.22046,0.42305,0.00254,0.000151429,0.000151429,0.000151429
62,57460.4,1.28111,0.42852,0.00238,0.97657,0.92094,0.95388,0.65012,1.21938,0.42111,0.00253,0.000137286,0.000137286,0.000137286
63,58574.5,1.27509,0.4243,0.00237,0.97708,0.91963,0.95401,0.65054,1.21884,0.42146,0.00253,0.000123143,0.000123143,0.000123143
64,59692.7,1.27065,0.42491,0.00237,0.97739,0.91976,0.95437,0.6518,1.217,0.42052,0.00253,0.000109,0.000109,0.000109
65,60803.7,1.26717,0.42285,0.00235,0.97778,0.92025,0.95444,0.6522,1.21624,0.41893,0.00253,9.48571e-05,9.48571e-05,9.48571e-05
66,61917.9,1.2637,0.42385,0.00234,0.97565,0.92241,0.95478,0.65303,1.21406,0.41921,0.00252,8.07143e-05,8.07143e-05,8.07143e-05
67,63050.5,1.25999,0.42092,0.00234,0.97825,0.92083,0.95485,0.65346,1.2131,0.41929,0.00252,6.65714e-05,6.65714e-05,6.65714e-05
68,64184.9,1.2564,0.42058,0.00232,0.97907,0.92031,0.95504,0.65348,1.2122,0.41876,0.00252,5.24286e-05,5.24286e-05,5.24286e-05
69,65347.8,1.25129,0.41866,0.00232,0.97846,0.92013,0.95486,0.65354,1.21159,0.41895,0.00252,3.82857e-05,3.82857e-05,3.82857e-05
70,66509.9,1.24775,0.41603,0.00231,0.97833,0.9208,0.95509,0.65392,1.21117,0.41925,0.00252,2.41429e-05,2.41429e-05,2.41429e-05
