epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,595.94,1.59126,0.90965,1.0528,0.88892,0.75742,0.8235,0.47254,1.46391,7.29197,0.94682,0.0670206,0.000333125,0.000333125
2,1192.07,1.45143,0.73132,1.00785,0.92046,0.80566,0.86539,0.5038,1.40286,2.10528,0.92171,0.0340118,0.000657661,0.000657661
3,1797.07,1.41015,0.68977,0.99613,0.93631,0.84251,0.88658,0.53288,1.34224,0.95081,0.91143,0.00099423,0.000973397,0.000973397
4,2403.45,1.37308,0.65705,0.98766,0.94454,0.85339,0.90183,0.56064,1.2915,0.78434,0.89427,0.0009604,0.0009604,0.0009604
5,3009.67,1.34721,0.62924,0.97831,0.95562,0.87178,0.91322,0.56523,1.26808,0.6811,0.88893,0.0009472,0.0009472,0.0009472
6,3616.5,1.32668,0.61184,0.97346,0.95318,0.87204,0.91434,0.57179,1.23317,0.67466,0.87773,0.000934,0.000934,0.000934
7,4221.12,1.31229,0.59856,0.97028,0.95599,0.87783,0.91786,0.57729,1.21954,0.61677,0.8767,0.0009208,0.0009208,0.0009208
8,4825.23,1.29827,0.58594,0.96771,0.95776,0.88619,0.92293,0.58002,1.20949,0.58666,0.87097,0.0009076,0.0009076,0.0009076
9,5429.59,1.28936,0.57754,0.96503,0.95829,0.88717,0.92481,0.58412,1.19848,0.59977,0.86955,0.0008944,0.0008944,0.0008944
10,6035.19,1.27702,0.56949,0.96083,0.95929,0.88945,0.92606,0.58722,1.19488,0.58849,0.86834,0.0008812,0.0008812,0.0008812
11,6648.38,1.26835,0.56148,0.96096,0.9615,0.89015,0.92587,0.58736,1.19138,0.59135,0.86706,0.000868,0.000868,0.000868
12,7275.56,1.26276,0.55772,0.95994,0.96055,0.89148,0.92197,0.5798,1.18775,4.60321,0.86642,0.0008548,0.0008548,0.0008548
13,7875.8,1.2568,0.5516,0.95661,0.96017,0.89133,0.92282,0.58048,1.18272,4.04246,0.86552,0.0008416,0.0008416,0.0008416
